seed= 1000
cool_rate[s/K]= 60
y= 2.5
n= 2
scale= 1e+09
conc= 2e-32
salt= -0.944
0	40	37	166
18.5096	40	37	165
18.5163	40	20	166
67.6367	41	20	165
67.6375	41	20	166
120.996	42	20	165
120.997	42	18	166
155.55	42	18	165
155.554	42	18	166
201.56	43	18	165
201.566	43	18	166
253.446	44	18	165
253.468	44	18	166
311.169	45	18	165
311.169	45	18	166
339.229	45	18	165
339.23	45	18	166
344.329	45	18	165
344.335	45	18	166
376.998	46	18	165
377.005	46	18	166
431.444	47	18	165
431.448	47	18	166
464.482	47	18	165
464.486	47	18	166
486.899	48	18	165
486.902	48	18	166
491.645	48	18	165
491.65	48	18	166
523.846	48	18	165
523.853	48	18	166
530.871	48	18	165
530.88	48	18	166
557.504	49	18	165
557.504	49	18	166
574.239	49	18	165
574.249	49	18	166
578.425	49	18	165
578.466	49	18	166
583.458	49	18	165
583.493	49	18	166
635.476	50	18	165
635.477	50	16	166
650.456	50	16	165
650.458	50	18	166
659.731	50	18	165
659.753	50	18	166
703.421	51	18	165
703.423	51	19	166
716.924	51	19	165
716.925	51	20	166
736.876	52	20	165
736.876	52	20	166
751.038	52	20	165
751.039	52	18	166
753.866	52	18	165
753.868	52	18	166
757.485	52	18	165
757.493	52	20	166
763.025	52	20	165
763.025	52	20	166
776.415	52	20	165
776.417	52	18	166
799.118	53	18	165
799.129	53	18	166
805.176	53	18	165
805.199	53	18	166
806.884	53	18	165
806.884	53	18	166
811.63	53	18	165
811.677	53	18	166
813.528	53	18	165
813.54	53	18	166
816.812	53	18	165
816.826	53	18	166
817.736	53	18	165
817.775	53	18	166
823.831	53	18	165
823.849	53	18	166
824.794	53	18	165
824.797	53	18	166
826.382	53	18	165
826.398	53	20	166
827.216	53	20	165
827.217	53	18	166
831.368	53	18	165
831.37	53	20	166
835.939	53	20	165
835.94	53	18	166
836.972	53	18	165
836.972	53	18	166
837.264	53	18	165
837.265	53	18	166
837.745	53	18	165
837.753	53	20	166
837.802	53	20	165
837.806	53	18	166
839.2	53	18	165
839.214	53	18	166
842.361	54	18	165
842.367	54	18	166
842.422	54	18	165
842.435	54	18	166
843.26	54	18	165
843.263	54	19	166
843.619	54	19	165
843.621	54	20	166
844.721	54	20	165
844.723	54	20	166
845.171	54	20	165
845.174	54	18	166
845.289	54	18	165
845.307	54	18	166
847.312	54	18	165
847.321	54	18	166
847.727	54	18	165
847.738	54	18	166
851.604	54	18	165
851.625	54	18	166
851.987	54	18	165
